tournament_id,tournament_date,match_id,round,round_name,match_number,player_a_id,player_a_name,player_a_score,player_b_id,player_b_name,player_b_score,table_number,started_at,ended_at,source_url
55565,2026-07-12,2902866,R1,Первый тур,2,103855,Kurchevskyi Daniil,1,9926,Олейник Иван,3,1,2026-07-12T09:05:56+00:00,2026-07-12T10:13:52+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902867,R1,Первый тур,3,53732,Kondratuk Alexandr,2,87908,Тихонов Роман,3,2,2026-07-12T09:06:02+00:00,2026-07-12T10:41:16+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902868,R1,Первый тур,4,92409,Конишев Никита,2,68408,Трачук Кірілл,3,3,2026-07-12T09:06:11+00:00,2026-07-12T10:45:30+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902869,R1,Первый тур,5,1053,Крупицкий Александр,1,88403,Lavryk Yevgen,3,4,2026-07-12T09:06:20+00:00,2026-07-12T10:45:10+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902870,R1,Первый тур,6,96997,Klubkov Dmytro,3,41555,Черный Роман,0,5,2026-07-12T09:06:29+00:00,2026-07-12T09:50:28+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902871,R1,Первый тур,7,94439,Дмитрюк Андрій,3,88075,Стельмах Даниил,2,6,2026-07-12T09:06:37+00:00,2026-07-12T11:04:05+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902872,R1,Первый тур,8,97675,Бугаєць Роман,3,88077,Ярчевский Эдуард,2,9,2026-07-12T09:06:47+00:00,2026-07-12T11:32:04+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902873,R1,Первый тур,9,101634,Ефаненков Анатолий,0,87813,Polovko Volodymyr,3,10,2026-07-12T09:06:52+00:00,2026-07-12T10:01:44+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902874,R1,Первый тур,10,53373,Мієнко Олексій,3,89467,Діденко Геннадій,0,5,2026-07-12T09:50:40+00:00,2026-07-12T10:30:14+00:00,https://tournamentservice.net/embed/55565/standing
55565,2026-07-12,2902875,R1,Первый тур,11,64943,Собачинский Владислав,3,103427,Янченко Артем,1,10,2026-07-12T10:02:02+00:00,2026-07-12T11:03:01+00:00,https://tournamentservice.net/embed/55565/standing
