rank,player_id,player_name,country,tournaments,total_points
1,43938,Таланенко Олександр,POL,1,32.0
2,76085,Гайдеров Максим,UKR,1,20.0
3,1559,Десятник Виталий,UKR,1,14.0
4,64943,Собачинский Владислав,UKR,1,14.0
5,87813,Polovko Volodymyr,POL,1,10.0
6,10481,Баблюк Евгений,UKR,1,10.0
7,89180,Лапко Алексей,POL,1,10.0
8,87908,Тихонов Роман,POL,1,10.0
9,102379,Безуглый Максим,POL,1,8.0
10,5580,Данов Илья,UKR,1,8.0
11,94439,Дмитрюк Андрій,POL,1,8.0
12,97445,Кепич Тарас,POL,1,8.0
13,53373,Мієнко Олексій,UKR,1,8.0
14,97235,Сливинский Андрей,POL,1,8.0
15,88075,Стельмах Даниил,POL,1,8.0
16,41555,Черный Роман,UKR,1,8.0
17,99887,Papou Vlodimir,POL,1,4.0
18,97675,Бугаєць Роман,POL,1,4.0
19,49300,Вечтомов Александр,UKR,1,4.0
20,89467,Діденко Геннадій,POL,1,4.0
21,41556,Крутов Алексей,UKR,1,4.0
22,101635,Марданов Хусейн,POL,1,4.0
23,26032,Попов Олександр,UKR,1,4.0
24,103427,Янченко Артем,POL,1,4.0
